dropout,count,mean,std,min,25%,50%,75%,max
0,1053.0,89.98480531813865,66.7750448371893,2.0,40.0,74.0,121.0,412.0
1,4103.0,64.78917864976846,61.46115507785115,1.0,26.0,44.0,77.0,842.0
