course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,LSTM,0.9387,0.9468,0.99,0.9679,0.7396,0.9666
timeseries_11,LSTM,0.7358,0.7577,0.9585,0.846,0.6697,0.8623
timeseries_4,LSTM,0.9695,0.9704,0.999,0.9845,0.623,0.9796
timeseries_5,LSTM,0.963,0.963,1.0,0.9811,0.4363,0.9599
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.5113,0.9269
timeseries_6,LSTM,0.9411,0.9559,0.9826,0.969,0.7543,0.9701
timeseries_8,LSTM,0.7275,0.7612,0.9265,0.8355,0.6403,0.8147
timeseries_12,LSTM,0.6361,0.7106,0.8041,0.7474,0.6235,0.7603
timeseries_10,LSTM,0.6494,0.7509,0.6138,0.6743,0.6928,0.7508
all_timeseries,LSTM,0.7899,0.8016,0.978,0.881,0.7278,0.8931
timeseries_9,LSTM,0.6838,0.7099,0.9214,0.8016,0.6489,0.8098
