course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,LSTM,0.9404,0.9428,0.997,0.9691,0.7203,0.971
timeseries_11,LSTM,0.7463,0.7651,0.9618,0.8517,0.5886,0.8126
timeseries_9,LSTM,0.6803,0.706,0.9245,0.8005,0.5552,0.7074
timeseries_10,LSTM,0.6767,0.7667,0.6524,0.7046,0.7283,0.7883
timeseries_4,LSTM,0.967,0.9703,0.9964,0.9832,0.6901,0.9827
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.4312,0.9152
timeseries_12,LSTM,0.6792,0.6982,0.9327,0.7981,0.5792,0.717
all_timeseries,LSTM,0.7936,0.7994,0.9887,0.884,0.719,0.8959
timeseries_2,LSTM,0.9347,0.9393,0.9943,0.966,0.8046,0.9769
timeseries_5,LSTM,0.9593,0.9628,0.9962,0.9792,0.5861,0.9704
timeseries_8,LSTM,0.7342,0.7574,0.9536,0.8412,0.5377,0.7531
