course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,RandomForest,0.939,0.9452,0.9924,0.9682,0.9114,0.9922
timeseries_6,LogisticRegression,0.934,0.9482,0.9833,0.9654,0.6867,0.9547
timeseries_11,RandomForest,0.7401,0.7927,0.8935,0.8383,0.7518,0.9033
timeseries_11,LogisticRegression,0.7148,0.7825,0.865,0.8214,0.6043,0.7906
timeseries_9,RandomForest,0.6769,0.7198,0.8755,0.7899,0.6659,0.8279
timeseries_9,LogisticRegression,0.6686,0.7165,0.8654,0.7837,0.5631,0.707
timeseries_10,RandomForest,0.6759,0.7814,0.629,0.6967,0.7353,0.7962
timeseries_10,LogisticRegression,0.5849,0.6256,0.7779,0.6869,0.605,0.6656
timeseries_4,RandomForest,0.9695,0.9704,0.999,0.9845,0.7184,0.9871
timeseries_4,LogisticRegression,0.9567,0.9743,0.9812,0.9777,0.3237,0.9473
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.721,0.9529
timeseries_1,LogisticRegression,0.9118,0.9118,1.0,0.9538,0.736,0.9599
timeseries_12,RandomForest,0.6708,0.704,0.8939,0.785,0.7118,0.8532
timeseries_12,LogisticRegression,0.6208,0.6866,0.8143,0.744,0.5661,0.7113
all_timeseries,RandomForest,0.7938,0.8135,0.9613,0.8812,0.7961,0.9352
all_timeseries,LogisticRegression,0.7889,0.808,0.9638,0.879,0.5887,0.8125
timeseries_2,RandomForest,0.9333,0.9345,0.9986,0.9655,0.8371,0.9805
timeseries_2,LogisticRegression,0.948,0.9524,0.9943,0.9728,0.6526,0.9494
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.5135,0.9695
timeseries_5,LogisticRegression,0.963,0.9688,0.9936,0.981,0.5895,0.9641
timeseries_8,RandomForest,0.7383,0.7814,0.9024,0.8374,0.7762,0.9098
timeseries_8,LogisticRegression,0.7288,0.7736,0.9018,0.8325,0.58,0.7724
