course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,RandomForest,0.9333,0.9333,1.0,0.9655,0.7699,0.9719
timeseries_2,LogisticRegression,0.9373,0.9407,0.9957,0.9674,0.5294,0.9292
timeseries_11,RandomForest,0.7605,0.7748,0.965,0.8595,0.7407,0.8974
timeseries_11,LogisticRegression,0.7235,0.7621,0.9244,0.8353,0.5821,0.7905
timeseries_4,RandomForest,0.9704,0.9704,1.0,0.985,0.7287,0.9863
timeseries_4,LogisticRegression,0.9606,0.973,0.9868,0.9798,0.3352,0.9501
timeseries_5,RandomForest,0.9617,0.9629,0.9987,0.9805,0.537,0.9667
timeseries_5,LogisticRegression,0.9642,0.9688,0.9949,0.9816,0.5662,0.9684
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.7425,0.9525
timeseries_1,LogisticRegression,0.9118,0.9118,1.0,0.9538,0.7581,0.9585
timeseries_6,RandomForest,0.9461,0.9489,0.9962,0.9719,0.7898,0.9752
timeseries_6,LogisticRegression,0.9383,0.9451,0.9917,0.9678,0.5699,0.9392
timeseries_8,RandomForest,0.7387,0.7828,0.9006,0.8374,0.7713,0.9077
timeseries_8,LogisticRegression,0.7279,0.7627,0.9235,0.8353,0.5502,0.7696
timeseries_12,RandomForest,0.6611,0.7039,0.8776,0.775,0.7121,0.8463
timeseries_12,LogisticRegression,0.6514,0.6932,0.8735,0.7724,0.6112,0.7343
timeseries_10,RandomForest,0.6494,0.7646,0.5903,0.6659,0.7096,0.7765
timeseries_10,LogisticRegression,0.618,0.6221,0.9041,0.7369,0.633,0.6909
all_timeseries,RandomForest,0.7945,0.812,0.9652,0.882,0.7876,0.9296
all_timeseries,LogisticRegression,0.7946,0.8057,0.9777,0.8834,0.5781,0.8192
timeseries_9,RandomForest,0.6952,0.7231,0.9094,0.8055,0.6647,0.8249
timeseries_9,LogisticRegression,0.6965,0.7207,0.9189,0.8076,0.6059,0.74
