course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,LSTM,0.9411,0.9519,0.9871,0.9691,0.6129,0.9585
timeseries_11,LSTM,0.7469,0.7641,0.9642,0.8524,0.6928,0.8578
timeseries_9,LSTM,0.6943,0.7192,0.9182,0.8065,0.667,0.8165
timeseries_10,LSTM,0.651,0.7476,0.6386,0.6822,0.6958,0.7493
timeseries_4,LSTM,0.97,0.9704,0.9995,0.9847,0.6298,0.9796
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.6866,0.9474
timeseries_12,LSTM,0.6681,0.7,0.9061,0.7854,0.6597,0.7804
all_timeseries,LSTM,0.7927,0.8011,0.9837,0.883,0.7248,0.9012
timeseries_2,LSTM,0.94,0.9457,0.9929,0.9687,0.6621,0.9514
timeseries_5,LSTM,0.963,0.963,1.0,0.9811,0.4385,0.963
timeseries_8,LSTM,0.7315,0.7585,0.9404,0.8396,0.5154,0.7614
