course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,RandomForest,0.9347,0.9393,0.9943,0.966,0.7551,0.9697
timeseries_2,LogisticRegression,0.9333,0.9429,0.9886,0.9651,0.5561,0.9318
timeseries_11,RandomForest,0.7494,0.7706,0.9537,0.8524,0.7158,0.8837
timeseries_11,LogisticRegression,0.7543,0.7603,0.9878,0.8592,0.6143,0.8046
timeseries_4,RandomForest,0.9675,0.9713,0.9959,0.9835,0.754,0.9864
timeseries_4,LogisticRegression,0.9645,0.9726,0.9914,0.9819,0.4648,0.9701
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.4186,0.9594
timeseries_5,LogisticRegression,0.963,0.9641,0.9987,0.9811,0.4462,0.9573
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.7441,0.9535
timeseries_1,LogisticRegression,0.9029,0.911,0.9903,0.9489,0.7199,0.952
timeseries_6,RandomForest,0.9426,0.9494,0.9917,0.97,0.8107,0.9764
timeseries_6,LogisticRegression,0.9426,0.9506,0.9902,0.97,0.5368,0.9424
timeseries_8,RandomForest,0.7329,0.7674,0.9223,0.8377,0.6935,0.8472
timeseries_8,LogisticRegression,0.7423,0.7528,0.9759,0.8499,0.5093,0.755
timeseries_12,RandomForest,0.6819,0.6975,0.9408,0.8009,0.7029,0.8319
timeseries_12,LogisticRegression,0.6875,0.6987,0.951,0.8055,0.5072,0.6988
timeseries_10,RandomForest,0.6657,0.7705,0.62,0.6869,0.7094,0.7563
timeseries_10,LogisticRegression,0.6024,0.604,0.9538,0.7395,0.6465,0.7023
all_timeseries,RandomForest,0.7914,0.8124,0.9595,0.8798,0.761,0.9149
all_timeseries,LogisticRegression,0.7955,0.7993,0.9921,0.8853,0.5408,0.8093
timeseries_9,RandomForest,0.6803,0.7151,0.8969,0.7956,0.6368,0.8005
timeseries_9,LogisticRegression,0.6996,0.7108,0.9566,0.8155,0.6167,0.75
