course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,LSTM,0.944,0.9471,0.9957,0.9708,0.7937,0.9728
timeseries_11,LSTM,0.7389,0.7632,0.9528,0.8463,0.5564,0.7908
timeseries_4,LSTM,0.9704,0.9704,1.0,0.985,0.6797,0.9835
timeseries_5,LSTM,0.9605,0.9629,0.9974,0.9798,0.4335,0.9623
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.4118,0.9049
timeseries_6,LSTM,0.9348,0.949,0.9833,0.9658,0.6596,0.9585
timeseries_8,LSTM,0.7342,0.7725,0.9145,0.8371,0.6212,0.8125
timeseries_12,LSTM,0.6722,0.6986,0.9122,0.7908,0.6116,0.7489
timeseries_10,LSTM,0.6114,0.6781,0.7428,0.685,0.5717,0.672
all_timeseries,LSTM,0.7926,0.7993,0.9876,0.8833,0.7077,0.8912
timeseries_9,LSTM,0.6664,0.7091,0.8799,0.7844,0.5984,0.7708
