course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,RandomForest,0.9307,0.9332,0.9971,0.9641,0.7686,0.9707
timeseries_2,LogisticRegression,0.9307,0.9403,0.9886,0.9638,0.4939,0.9278
timeseries_11,RandomForest,0.7716,0.78,0.974,0.8662,0.7366,0.8904
timeseries_11,LogisticRegression,0.7475,0.7623,0.9699,0.8536,0.604,0.8069
timeseries_4,RandomForest,0.9695,0.9714,0.998,0.9845,0.7541,0.9866
timeseries_4,LogisticRegression,0.9631,0.974,0.9883,0.9811,0.5034,0.971
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.428,0.9594
timeseries_5,LogisticRegression,0.9617,0.9675,0.9936,0.9803,0.4799,0.9626
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.7473,0.9541
timeseries_1,LogisticRegression,0.9088,0.9115,0.9968,0.9522,0.7618,0.9591
timeseries_6,RandomForest,0.9475,0.9509,0.9955,0.9726,0.8166,0.9768
timeseries_6,LogisticRegression,0.9333,0.9469,0.9841,0.9651,0.5289,0.9378
timeseries_8,RandomForest,0.7378,0.7819,0.9006,0.8368,0.7576,0.8999
timeseries_8,LogisticRegression,0.7356,0.7567,0.953,0.8435,0.4509,0.7252
timeseries_12,RandomForest,0.6667,0.6923,0.9224,0.7879,0.698,0.8421
timeseries_12,LogisticRegression,0.6764,0.6961,0.9306,0.7961,0.5819,0.7203
timeseries_10,RandomForest,0.6616,0.7793,0.5979,0.6764,0.7033,0.7633
timeseries_10,LogisticRegression,0.6139,0.6146,0.9331,0.7409,0.6206,0.6833
all_timeseries,RandomForest,0.7949,0.8131,0.9638,0.882,0.7826,0.9247
all_timeseries,LogisticRegression,0.795,0.8024,0.9849,0.8843,0.5801,0.8273
timeseries_9,RandomForest,0.6956,0.7236,0.9088,0.8055,0.6585,0.8166
timeseries_9,LogisticRegression,0.7026,0.7191,0.9384,0.8141,0.6372,0.7658
