course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,LSTM,0.9333,0.9489,0.9818,0.965,0.6724,0.964
timeseries_11,LSTM,0.7414,0.7595,0.965,0.8499,0.562,0.7943
timeseries_9,LSTM,0.6729,0.7041,0.9126,0.7944,0.5887,0.757
timeseries_10,LSTM,0.6045,0.6415,0.8448,0.7116,0.5902,0.6747
timeseries_4,LSTM,0.97,0.9704,0.9995,0.9847,0.6626,0.9824
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.4151,0.9057
timeseries_12,LSTM,0.6667,0.6966,0.9041,0.7866,0.5885,0.743
all_timeseries,LSTM,0.7942,0.7987,0.9913,0.8846,0.6787,0.8774
timeseries_2,LSTM,0.9427,0.9459,0.9957,0.9701,0.7943,0.9728
timeseries_5,LSTM,0.9605,0.9629,0.9974,0.9798,0.4303,0.9626
timeseries_8,LSTM,0.741,0.7741,0.9235,0.842,0.6366,0.8186
