course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,RandomForest,0.9404,0.9479,0.9909,0.9689,0.8205,0.9771
timeseries_6,LogisticRegression,0.9426,0.9506,0.9902,0.97,0.5368,0.9424
timeseries_11,RandomForest,0.7469,0.7701,0.9504,0.8507,0.7201,0.8868
timeseries_11,LogisticRegression,0.7537,0.7602,0.987,0.8588,0.6157,0.8051
timeseries_9,RandomForest,0.676,0.7143,0.8893,0.7921,0.6448,0.8043
timeseries_9,LogisticRegression,0.6996,0.711,0.956,0.8154,0.6175,0.75
timeseries_10,RandomForest,0.6665,0.7716,0.6207,0.6877,0.7061,0.7544
timeseries_10,LogisticRegression,0.6,0.6026,0.9524,0.7381,0.642,0.7007
timeseries_4,RandomForest,0.9685,0.9718,0.9964,0.984,0.7523,0.9863
timeseries_4,LogisticRegression,0.9645,0.9726,0.9914,0.9819,0.4645,0.97
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.7446,0.9537
timeseries_1,LogisticRegression,0.9029,0.911,0.9903,0.9489,0.7199,0.9524
timeseries_12,RandomForest,0.675,0.6947,0.9327,0.7961,0.7022,0.8286
timeseries_12,LogisticRegression,0.6889,0.6991,0.9531,0.8064,0.5028,0.7003
all_timeseries,RandomForest,0.7902,0.8118,0.9586,0.8791,0.7603,0.9145
all_timeseries,LogisticRegression,0.7966,0.7998,0.9929,0.8859,0.5309,0.8046
timeseries_2,RandomForest,0.9333,0.9369,0.9957,0.9654,0.7807,0.9704
timeseries_2,LogisticRegression,0.9333,0.9429,0.9886,0.9651,0.5544,0.9317
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.4171,0.9598
timeseries_5,LogisticRegression,0.963,0.9641,0.9987,0.9811,0.4436,0.957
timeseries_8,RandomForest,0.7356,0.7692,0.9235,0.8392,0.6928,0.8462
timeseries_8,LogisticRegression,0.7401,0.7513,0.9753,0.8487,0.5239,0.7628
