course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,LSTM,0.936,0.9395,0.9957,0.9667,0.7283,0.966
timeseries_11,LSTM,0.7735,0.8426,0.8642,0.8528,0.7987,0.9175
timeseries_4,LSTM,0.9665,0.9703,0.9959,0.983,0.6875,0.9821
timeseries_5,LSTM,0.9556,0.9638,0.991,0.9771,0.687,0.9793
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.5172,0.9442
timeseries_6,LSTM,0.9482,0.9535,0.9932,0.9729,0.8824,0.9874
timeseries_8,LSTM,0.7856,0.8317,0.8976,0.8623,0.8139,0.9197
timeseries_12,LSTM,0.6667,0.7328,0.8143,0.7675,0.6676,0.8123
timeseries_10,LSTM,0.7567,0.8268,0.7559,0.7865,0.8226,0.8742
all_timeseries,LSTM,0.8304,0.9058,0.8789,0.8918,0.8807,0.9665
timeseries_9,LSTM,0.6712,0.7237,0.8528,0.782,0.6734,0.8275
