course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,RandomForest,0.9307,0.9332,0.9971,0.9641,0.8323,0.9795
timeseries_2,LogisticRegression,0.948,0.9524,0.9943,0.9728,0.6557,0.9495
timeseries_11,RandomForest,0.737,0.7905,0.8927,0.8366,0.7454,0.9011
timeseries_11,LogisticRegression,0.7154,0.7805,0.8699,0.8225,0.6066,0.7917
timeseries_4,RandomForest,0.9695,0.9704,0.999,0.9845,0.7806,0.99
timeseries_4,LogisticRegression,0.9562,0.9743,0.9807,0.9775,0.3242,0.947
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.4955,0.9664
timeseries_5,LogisticRegression,0.963,0.9688,0.9936,0.981,0.5882,0.9641
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.7194,0.9538
timeseries_1,LogisticRegression,0.9118,0.9118,1.0,0.9538,0.736,0.9599
timeseries_6,RandomForest,0.9411,0.9447,0.9955,0.9694,0.9078,0.9919
timeseries_6,LogisticRegression,0.9348,0.9489,0.9833,0.9658,0.6872,0.9548
timeseries_8,RandomForest,0.7437,0.782,0.9114,0.8416,0.7776,0.9105
timeseries_8,LogisticRegression,0.7293,0.7734,0.903,0.8329,0.5824,0.7727
timeseries_12,RandomForest,0.6625,0.6919,0.9143,0.7839,0.7157,0.8563
timeseries_12,LogisticRegression,0.6139,0.681,0.8143,0.7406,0.5512,0.7054
timeseries_10,RandomForest,0.678,0.78,0.6359,0.7003,0.7333,0.7969
timeseries_10,LogisticRegression,0.582,0.6139,0.8048,0.6938,0.6081,0.6687
all_timeseries,RandomForest,0.7961,0.811,0.9698,0.8833,0.7963,0.9354
all_timeseries,LogisticRegression,0.788,0.8077,0.9627,0.8784,0.5898,0.8134
timeseries_9,RandomForest,0.6882,0.7165,0.9119,0.8022,0.6774,0.8319
timeseries_9,LogisticRegression,0.6699,0.7176,0.8654,0.7844,0.5572,0.7024
