course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,RandomForest,0.9397,0.9459,0.9924,0.9686,0.9011,0.9916
timeseries_6,LogisticRegression,0.9383,0.9511,0.9848,0.9676,0.6332,0.9452
timeseries_11,RandomForest,0.737,0.809,0.8577,0.8316,0.7376,0.899
timeseries_11,LogisticRegression,0.6809,0.8022,0.774,0.7858,0.5818,0.7844
timeseries_9,RandomForest,0.6817,0.7183,0.8912,0.7951,0.6773,0.8352
timeseries_9,LogisticRegression,0.6463,0.7097,0.8302,0.765,0.5471,0.7009
timeseries_10,RandomForest,0.6906,0.7856,0.6579,0.7157,0.7471,0.8084
timeseries_10,LogisticRegression,0.6473,0.751,0.6048,0.6698,0.6093,0.6701
timeseries_4,RandomForest,0.9709,0.9709,1.0,0.9852,0.8433,0.9925
timeseries_4,LogisticRegression,0.9512,0.9742,0.9756,0.9748,0.4435,0.956
timeseries_1,RandomForest,0.9529,0.9781,0.971,0.974,0.8145,0.9636
timeseries_1,LogisticRegression,0.9029,0.9186,0.9806,0.9485,0.8565,0.9784
timeseries_12,RandomForest,0.7069,0.7646,0.8306,0.7942,0.7586,0.8728
timeseries_12,LogisticRegression,0.5944,0.6932,0.7388,0.7112,0.5502,0.704
all_timeseries,RandomForest,0.7961,0.8135,0.9649,0.8827,0.8043,0.9387
all_timeseries,LogisticRegression,0.7857,0.8108,0.953,0.8762,0.6151,0.8192
timeseries_2,RandomForest,0.932,0.9332,0.9986,0.9648,0.8647,0.9839
timeseries_2,LogisticRegression,0.956,0.9551,1.0,0.977,0.6617,0.9508
timeseries_5,RandomForest,0.963,0.963,1.0,0.9811,0.6021,0.9744
timeseries_5,LogisticRegression,0.963,0.9664,0.9962,0.9811,0.6068,0.9731
timeseries_8,RandomForest,0.7329,0.7787,0.8982,0.8339,0.7759,0.912
timeseries_8,LogisticRegression,0.7207,0.7796,0.8735,0.8238,0.6432,0.7994
