course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,RandomForest,0.9454,0.9501,0.9939,0.9715,0.808,0.9767
timeseries_6,LogisticRegression,0.9383,0.9451,0.9917,0.9678,0.5452,0.9375
timeseries_11,RandomForest,0.7543,0.7726,0.9585,0.8555,0.7407,0.8981
timeseries_11,LogisticRegression,0.7247,0.7629,0.9252,0.8361,0.578,0.7892
timeseries_9,RandomForest,0.6803,0.7207,0.8811,0.7928,0.6634,0.8225
timeseries_9,LogisticRegression,0.6978,0.7215,0.9195,0.8085,0.6113,0.7422
timeseries_10,RandomForest,0.651,0.7649,0.5938,0.6683,0.7062,0.7746
timeseries_10,LogisticRegression,0.6135,0.6199,0.8986,0.7334,0.6304,0.6874
timeseries_4,RandomForest,0.9704,0.9704,1.0,0.985,0.753,0.9874
timeseries_4,LogisticRegression,0.9606,0.973,0.9868,0.9798,0.3374,0.9501
timeseries_1,RandomForest,0.9118,0.9118,1.0,0.9538,0.7446,0.9532
timeseries_1,LogisticRegression,0.9118,0.9118,1.0,0.9538,0.7581,0.9585
timeseries_12,RandomForest,0.6625,0.7073,0.8673,0.7734,0.7108,0.8461
timeseries_12,LogisticRegression,0.6542,0.6943,0.8776,0.7747,0.6062,0.7317
all_timeseries,RandomForest,0.793,0.8123,0.9623,0.8809,0.7875,0.9288
all_timeseries,LogisticRegression,0.7938,0.8051,0.9774,0.8829,0.5699,0.8171
timeseries_2,RandomForest,0.9333,0.9345,0.9986,0.9655,0.7721,0.9722
timeseries_2,LogisticRegression,0.936,0.9406,0.9943,0.9667,0.531,0.929
timeseries_5,RandomForest,0.9617,0.9629,0.9987,0.9805,0.5303,0.9651
timeseries_5,LogisticRegression,0.9642,0.9688,0.9949,0.9816,0.5662,0.9685
timeseries_8,RandomForest,0.7315,0.7795,0.894,0.8326,0.7676,0.9075
timeseries_8,LogisticRegression,0.7279,0.7625,0.9241,0.8354,0.5541,0.7735
