course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,LSTM,0.9373,0.9472,0.9886,0.9671,0.7876,0.9765
timeseries_11,LSTM,0.7389,0.7658,0.948,0.8461,0.6232,0.8243
timeseries_4,LSTM,0.965,0.9703,0.9944,0.9822,0.8714,0.9953
timeseries_5,LSTM,0.958,0.9663,0.991,0.9785,0.5776,0.9677
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.5704,0.9295
timeseries_6,LSTM,0.9362,0.9374,0.9985,0.967,0.6618,0.9633
timeseries_8,LSTM,0.7306,0.7588,0.9404,0.8385,0.6742,0.8488
timeseries_12,LSTM,0.6722,0.6915,0.9367,0.7947,0.544,0.7053
timeseries_10,LSTM,0.6155,0.6265,0.8897,0.7316,0.6192,0.701
all_timeseries,LSTM,0.7948,0.7974,0.995,0.8852,0.7308,0.8986
timeseries_9,LSTM,0.69,0.7129,0.9277,0.8059,0.6469,0.789
