course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,LSTM,0.8433,0.8428,0.8932,0.8672,0.6436,0.9622
timeseries_11,LSTM,0.7364,0.7719,0.9317,0.8418,0.6127,0.824
timeseries_9,LSTM,0.6808,0.7099,0.9145,0.7989,0.6223,0.768
timeseries_10,LSTM,0.6118,0.6148,0.9241,0.738,0.5944,0.6763
timeseries_4,LSTM,0.969,0.9704,0.9985,0.9842,0.8531,0.994
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.5349,0.9245
timeseries_12,LSTM,0.6736,0.6946,0.9306,0.7947,0.5061,0.683
all_timeseries,LSTM,0.7942,0.7978,0.9932,0.8848,0.7233,0.8947
timeseries_2,LSTM,0.8707,0.9463,0.9186,0.9037,0.7109,0.9672
timeseries_5,LSTM,0.958,0.9663,0.991,0.9785,0.6374,0.9735
timeseries_8,LSTM,0.7356,0.7554,0.956,0.8438,0.6545,0.835
