course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_6,LSTM,0.9397,0.9524,0.9848,0.9683,0.7602,0.9708
timeseries_11,LSTM,0.7395,0.7604,0.9593,0.848,0.6661,0.8584
timeseries_9,LSTM,0.6878,0.7103,0.9296,0.8047,0.6472,0.8085
timeseries_10,LSTM,0.651,0.7544,0.611,0.6746,0.6844,0.7439
timeseries_4,LSTM,0.9695,0.9704,0.999,0.9845,0.6489,0.9818
timeseries_1,LSTM,0.9118,0.9118,1.0,0.9538,0.5317,0.9294
timeseries_12,LSTM,0.6389,0.6891,0.8612,0.7612,0.6185,0.7553
all_timeseries,LSTM,0.7906,0.8034,0.9755,0.8811,0.7331,0.8956
timeseries_2,LSTM,0.9333,0.9392,0.9929,0.9653,0.737,0.9642
timeseries_5,LSTM,0.963,0.963,1.0,0.9811,0.4303,0.9592
timeseries_8,LSTM,0.7293,0.7589,0.9355,0.8377,0.6485,0.8225
