course,algorithm,accuracy,precision,recall,f1,roc_auc,pr_auc
timeseries_2,LSTM,0.9387,0.9444,0.9929,0.968,0.663,0.9505
timeseries_11,LSTM,0.7401,0.7614,0.9577,0.8482,0.6882,0.8533
timeseries_4,LSTM,0.9695,0.9704,0.999,0.9845,0.6338,0.9811
timeseries_5,LSTM,0.963,0.963,1.0,0.9811,0.459,0.9636
timeseries_1,LSTM,0.9088,0.9115,0.9968,0.9522,0.6876,0.9477
timeseries_6,LSTM,0.9418,0.9526,0.9871,0.9695,0.6499,0.9624
timeseries_8,LSTM,0.7297,0.7569,0.941,0.8388,0.5378,0.7711
timeseries_12,LSTM,0.6667,0.6895,0.9286,0.7912,0.65,0.773
timeseries_10,LSTM,0.6424,0.732,0.6421,0.6775,0.6918,0.7477
all_timeseries,LSTM,0.7912,0.7998,0.984,0.8823,0.7197,0.9002
timeseries_9,LSTM,0.6952,0.7184,0.9226,0.8077,0.6704,0.8166
